dataset	model	variant	loss_before	loss_after	chrF	tokens_per_sec
alpaca	distilgpt2	LoRA	9.5016	1.1357	0.3885	4102
alpaca	distilgpt2	Head	7.6471	1.0598	0.0026	3969
